Product_URL,Product_Name,Product_Price,Product_Rating,Product_Reviews
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDM2OTY3MzQ5MTgwNjU2OjE2OTc3MTkwMjQ6c3BfYXRmX25leHQ6MzAwMDQ2OTkxMzQxODMyOjowOjo&url=%2FAmazon-Basics-Laptop-College-Backpack%2Fdp%2FB0C8NSJ4RD%2Fref%3Dsr_1_226_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697719024%26sprefix%3Dba%252Caps%252C283%26sr%3D8-226-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"Amazon Basics Opel Laptop Bag/Office/College Backpack for 15.6 inch laptop(20 L, Grey)",499,4.0 out of 5 stars,8
https://www.amazon.in/ADISA-Women-Girls-Flower-Crossbody/dp/B0BCZSKZLC/ref=sr_1_227?crid=2M096C61O4MLT&keywords=bags&qid=1697719024&sprefix=ba%2Caps%2C283&sr=8-227,ADISA Women Girls Flower Print Sling Bag Round Crossbody Purse,409,4.0 out of 5 stars,347
https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Bookbags/dp/B09P2RP9TG/ref=sr_1_228?crid=2M096C61O4MLT&keywords=bags&qid=1697719024&sprefix=ba%2Caps%2C283&sr=8-228,WildHorn Laptop Backpack for Men/Women I Waterproof I Travel/Business/College Bookbags Fit 15.6 Inch Laptop,799,3.9 out of 5 stars,302
https://www.amazon.in/Lino-Perros-women-shoulder-OFFWHITE/dp/B09P69ZNBP/ref=sr_1_229?crid=2M096C61O4MLT&keywords=bags&qid=1697719024&sprefix=ba%2Caps%2C283&sr=8-229,Lino Perros women fancy shoulder bag,868,4.1 out of 5 stars,168
https://www.amazon.in/INOVERA-Water-Resistance-Toiletries-Cosmetics-Organizer/dp/B0BPYCBPTT/ref=sr_1_230?crid=2M096C61O4MLT&keywords=bags&qid=1697719024&sprefix=ba%2Caps%2C283&sr=8-230,INOVERA (LABEL) Faux Leather Water-Resistance Toiletries Cosmetics Makeup Storage Organizer Bag for Girls and Women< Rose Gols (Rose Gold),259,4.3 out of 5 stars,184
https://www.amazon.in/Lifelong-LLGB02-Adjustable-Shoulder-Accessories/dp/B0BW3QZBQH/ref=sr_1_231?crid=2M096C61O4MLT&keywords=bags&qid=1697719024&sprefix=ba%2Caps%2C283&sr=8-231,"Lifelong LLGB02 Gym Bag|Unisex Gym Bags|Adjustable Shoulder Bag for Men|Duffle Gym Bags for Men|Carry Gym Accessories|Fitness Bag|Sports &Travel Bag|Gym kit Bag (Black, 6 Months Warranty)",379,3.4 out of 5 stars,73
https://www.amazon.in/Stylbase-Spider-man-Polyester-Character-Embossed/dp/B0BNL2MJQQ/ref=sr_1_232?crid=2M096C61O4MLT&keywords=bags&qid=1697719024&sprefix=ba%2Caps%2C283&sr=8-232,"Stylbase 15 inches Kids 3D Cartoon Backpack - Lightweight, Waterproof, Adjustable Shoulder Straps, 3 Compartments, Bottle Holder - Perfect for School and Outdoor Adventures",543,4.0 out of 5 stars,214
https://www.amazon.in/TRUE-Anti-Theft-backpack-charging-Epower_B/dp/B0BYBDX8VP/ref=sr_1_233?crid=2M096C61O4MLT&keywords=bags&qid=1697719024&sprefix=ba%2Caps%2C283&sr=8-233,"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",499,3.7 out of 5 stars,466
https://www.amazon.in/Lunars-Comet-Resistant-Casual-Backpack/dp/B07WN833M7/ref=sr_1_234?crid=2M096C61O4MLT&keywords=bags&qid=1697719024&sprefix=ba%2Caps%2C283&sr=8-234,Lunar's Comet 35L Water Resistant Travel Bagpack/College Backpack/School Bag/Office Bag/Business Backpack/Daypack for Men and Women with 1 Year Warranty,849,4.0 out of 5 stars,"13,855"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDM2OTY3MzQ5MTgwNjU2OjE2OTc3MTkwMjQ6c3BfbXRmOjMwMDA2NjQyODYzMzczMjo6MDo6&url=%2FSH-COLLECTION-HUB-Backpack-Computer%2Fdp%2FB0CG3HQWSY%2Fref%3Dsr_1_235_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697719024%26sprefix%3Dba%252Caps%252C283%26sr%3D8-235-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,SH COLLECTION HUB Laptop Bag Backpack Fashion Backpack for Men Casual Student School Bag Computer Bag College Bag Office Bag Business Unisex Travel Backpack,"1,199",0,0
